class	json_data
Loremaster	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Secret", "+1 level of existing class"], ["2nd", "+1", "+1", "+1", "+1", "Lore", "+1 level of existing class"], ["3rd", "+1", "+1", "+1", "+2", "Secret", "+1 level of existing class"], ["4th", "+2", "+1", "+1", "+2", "Bonus language", "+1 level of existing class"], ["5th", "+2", "+2", "+2", "+3", "Secret", "+1 level of existing class"], ["6th", "+3", "+2", "+2", "+3", "Greater lore", "+1 level of existing class"], ["7th", "+3", "+2", "+2", "+4", "Secret", "+1 level of existing class"], ["8th", "+4", "+3", "+3", "+4", "Bonus language", "+1 level of existing class"], ["9th", "+4", "+3", "+3", "+5", "Secret", "+1 level of existing class"], ["10th", "+5", "+3", "+3", "+5", "True lore", "+1 level of existing class"]]
Low Templar	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Crusader +1, flag of convenience"], ["2nd", "+2", "+1", "+1", "+1", "Dirty fighting"], ["3rd", "+3", "+2", "+1", "+1", "Sneak attack +1d6"], ["4th", "+4", "+2", "+1", "+1", "Crusader +2"], ["5th", "+5", "+3", "+2", "+2", "Live to fight another day, path of darkness/path of light"], ["6th", "+6", "+3", "+2", "+2", "Ruthless"], ["7th", "+7", "+4", "+2", "+2", "Crusader +3"], ["8th", "+8", "+4", "+3", "+3", "Sneak attack +2d6"], ["9th", "+9", "+5", "+3", "+3", "Parting shot"], ["10th", "+10", "+5", "+3", "+3", "Crusader +4, damnation/redemption"]]
Magaambyan Arcanist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Aura of good, halcyon magic", "+1 level of arcane spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Superior spell mastery, virtuous spells", "+1 level of arcane spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Intoned recollection (1 minute), lasting goodness", "+1 level of arcane spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Spontaneous spell mastery (1/day)", "+1 level of arcane spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Blessed warding", "+1 level of arcane spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Immediate spell mastery", "+1 level of arcane spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Righteous contravention", "+1 level of arcane spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Spontaneous spell mastery (2/day)", "+1 level of arcane spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Holy arcana, intoned recollection (full round)", "+1 level of arcane spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Altruistic guardian, timeless body", "+1 level of arcane spellcasting class"]]
Mammoth Rider	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Gigantic steed (+2 Str, +2 Con), steed, wild coercion"], ["2nd", "+2", "+1", "+1", "+1", "Born survivor, colossus hunter"], ["3rd", "+3", "+2", "+1", "+1", "Gigantic steed (+4 Str), rapid straddle, rugged steed +1"], ["4th", "+4", "+2", "+1", "+1", "Mistrust of magic, undaunted"], ["5th", "+5", "+3", "+2", "+2", "Gigantic steed (+6 Str, +4 Con), rugged steed +2, valiant devotion"], ["6th", "+6", "+3", "+2", "+2", "Born survivor, hunter’s instinct"], ["7th", "+7", "+4", "+2", "+2", "Gigantic steed (+8 Str), rugged steed +3, steed’s reach"], ["8th", "+8", "+4", "+3", "+3", "Combined might"], ["9th", "+9", "+5", "+3", "+3", "Gigantic steed (+10 Str, +6 Con), pulverizing assault, rugged steed +4"], ["10th", "+10", "+5", "+3", "+3", "Mammoth lord"]]
Master Chymist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+1", "+1", "+1", "+0", "Bomb-thrower, mutagenic form, mutate 2/day", "—"], ["2nd", "+2", "+1", "+1", "+1", "Advanced mutagen", "+1 level of alchemist"], ["3rd", "+3", "+2", "+2", "+1", "Brutality (+2)", "+1 level of alchemist"], ["4th", "+4", "+2", "+2", "+1", "Advanced mutagen", "—"], ["5th", "+5", "+3", "+3", "+2", "Mutate 3/day", "+1 level of alchemist"], ["6th", "+6", "+3", "+3", "+2", "Advanced mutagen", "+1 level of alchemist"], ["7th", "+7", "+4", "+4", "+2", "Brutality (+4)", "+1 level of alchemist"], ["8th", "+8", "+4", "+4", "+3", "Advanced mutagen, mutate 4/day", "—"], ["9th", "+9", "+5", "+5", "+3", "Brutality (+6)", "+1 level of alchemist"], ["10th", "+10", "+5", "+5", "+3", "Advanced mutagen, mutate 5/day", "+1 level of alchemist"]]
Master Spy	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+1", "Art of deception, master of disguise, sneak attack +1d6"], ["2nd", "+1", "+1", "+1", "+1", "Glib lie, mask alignment"], ["3rd", "+2", "+1", "+2", "+2", "Nonmagical aura 2/day, superficial knowledge"], ["4th", "+3", "+1", "+2", "+2", "Concealed thoughts, quick change, sneak attack +2d6"], ["5th", "+3", "+2", "+3", "+3", "Elude detection, slippery mind"], ["6th", "+4", "+2", "+3", "+3", "Shift alignment"], ["7th", "+5", "+2", "+4", "+4", "Sneak attack +3d6"], ["8th", "+6", "+3", "+4", "+4", "Death attack, fool casting"], ["9th", "+6", "+3", "+5", "+5", "Hidden mind"], ["10th", "+7", "+3", "+5", "+5", "Assumption, sneak attack +4d6"]]
Mortal Usher	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+1", "+0", "+1", "Reaping strike +1d6, Vital Strike"], ["2nd", "+1", "+1", "+1", "+1", "Mortal Talents"], ["3rd", "+2", "+2", "+1", "+2", "Reaping strike +2d6, nosoi plague mask"], ["4th", "+3", "+2", "+1", "+2", "Mortal talents"], ["5th", "+3", "+3", "+2", "+3", "Catrina's calm, reaping strike +3d6"], ["6th", "+4", "+3", "+2", "+3", "Mortal talents"], ["7th", "+5", "+4", "+2", "+4", "Morrigna wrappings, reaping strike +4d6"], ["8th", "+6", "+4", "+3", "+4", "Mortal talents"], ["9th", "+6", "+5", "+3", "+5", "Reaping strike +5d6, vanth wings"], ["10th", "+7", "+5", "+3", "+5", "Mortal talents, yamaraj-feather cloak"]]
Mystery Cultist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Blessed, obedience", "—"], ["2nd", "+1", "+1", "+1", "+1", "Glorious aura", "+1 level of existing class"], ["3rd", "+2", "+1", "+1", "+2", "Celestial boon 1", "+1 level of existing class"], ["4th", "+3", "+1", "+1", "+2", "Brand of healing, summon celestial 1", "+1 level of existing class"], ["5th", "+3", "+2", "+2", "+3", "Fervor", "+1 level of existing class"], ["6th", "+4", "+2", "+2", "+3", "Celestial boon 2", "+1 level of existing class"], ["7th", "+5", "+2", "+2", "+4", "Incorruptible", "+1 level of existing class"], ["8th", "+6", "+3", "+3", "+4", "Summon celestial 2", "+1 level of existing class"], ["9th", "+6", "+3", "+3", "+5", "Celestial boon 3", "+1 level of existing class"], ["10th", "+7", "+3", "+3", "+5", "Sacred haven", "+1 level of existing class"]]
Mystic Theurge	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Combined spells (1st)", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "—", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Combined spells (2nd)", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "—", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Combined spells (3rd)", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "—", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Combined spells (4th)", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "—", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Combined spells (5th)", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Spell synthesis", "+1 level of existing arcane spellcasting class/<br>+1 level of existing divine spellcasting class"]]
Nature Warden	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Companion bond, natural empathy", "—"], ["2nd", "+1", "+1", "+1", "+1", "Mystic harmony, wild stride", "+1 level of divine spellcasting class"], ["3rd", "+2", "+2", "+1", "+2", "Animal speech", "+1 level of divine spellcasting class"], ["4th", "+3", "+2", "+1", "+2", "Silverclaw", "+1 level of divine spellcasting class"], ["5th", "+3", "+3", "+2", "+3", "Favored terrain, survivalist", "—"], ["6th", "+4", "+3", "+2", "+3", "Woodforging", "+1 level of divine spellcasting class"], ["7th", "+5", "+4", "+2", "+4", "Companion walk, plant speech", "+1 level of divine spellcasting class"], ["8th", "+6", "+4", "+3", "+4", "Ironpaw", "+1 level of divine spellcasting class"], ["9th", "+6", "+5", "+3", "+5", "Guarded lands", "—"], ["10th", "+7", "+5", "+3", "+5", "Companion soul, favored terrain", "+1 level of divine spellcasting class"]]
Noble Scion	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+0", "+1", "Affluent"], ["2nd", "+1", "+1", "+1", "+1", "Greater leadership"], ["3rd", "+2", "+1", "+1", "+2", "Aristocratic erudition"], ["4th", "+3", "+1", "+1", "+2", "Prestigious influence, regional expertise"], ["5th", "+3", "+2", "+2", "+3", "Dilettante studies"], ["6th", "+4", "+2", "+2", "+3", "Regional expertise"], ["7th", "+5", "+2", "+2", "+4", "Servitor"], ["8th", "+6", "+3", "+3", "+4", "Regional expertise"], ["9th", "+6", "+3", "+3", "+5", "Dilettante studies"], ["10th", "+7", "+3", "+3", "+5", "Peerless patrician"]]
Pain Taster	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Disciple of pain, masochism 1, scourge"], ["2nd", "+2", "+1", "+1", "+1", "Cruelty +1d6, damage reduction 1/—"], ["3rd", "+3", "+2", "+1", "+1", "Blood control, torturer's mettle 1/day"], ["4th", "+4", "+2", "+1", "+1", "Cruelty +2d6, damage reduction 2/—, masochism 2"], ["5th", "+5", "+3", "+2", "+2", "Pain mastery"], ["6th", "+6", "+3", "+2", "+2", "Cruelty +3d6, damage reduction 3/—, torturer's mettle 2/day"], ["7th", "+7", "+4", "+2", "+2", "Exquisite lash, masochism 3"], ["8th", "+8", "+4", "+3", "+3", "Cruelty +4d6, damage reduction 4/—"], ["9th", "+9", "+5", "+3", "+3", "Sadism, torturer's mettle 3/day"], ["10th", "+10", "+5", "+3", "+3", "Cruelty +5d6, damage reduction 5/—, masochism 4"]]
Pathfinder Chronicler	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+1", "Bardic knowledge, deep pockets, master scribe"], ["2nd", "+1", "+1", "+1", "+1", "Live to tell the tale, pathfinding"], ["3rd", "+2", "+1", "+2", "+2", "Bardic performance, improved aid"], ["4th", "+3", "+1", "+2", "+2", "Epic tales"], ["5th", "+3", "+2", "+3", "+3", "Whispering campaign"], ["6th", "+4", "+2", "+3", "+3", "Inspired action (move)"], ["7th", "+5", "+2", "+4", "+4", "Call down the legends"], ["8th", "+6", "+3", "+4", "+4", "Greater epic tales"], ["9th", "+6", "+3", "+5", "+5", "Inspired action (standard)"], ["10th", "+7", "+3", "+5", "+5", "Lay of the exalted dead"]]
Pathfinder Delver	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Bardic knowledge, master explorer"], ["2nd", "+1", "+1", "+1", "+1", "Surefooted, trap sense +1"], ["3rd", "+2", "+1", "+2", "+1", "Thrilling escape 1/day, guardbreaker"], ["4th", "+3", "+1", "+2", "+1", "Resourceful disabler, vigilant combatant"], ["5th", "+3", "+2", "+3", "+2", "Left for dead, trap sense +2"], ["6th", "+4", "+2", "+3", "+2", "Fortunate soul 1/day"], ["7th", "+5", "+2", "+4", "+2", "Thrilling escape 2/day"], ["8th", "+6", "+3", "+4", "+3", "Trap sense +3"], ["9th", "+6", "+3", "+5", "+3", "Thrilling escape 3/day, true seeing 1/day"], ["10th", "+7", "+3", "+5", "+3", "Fortunate soul 2/day, nick of time"]]
Pathfinder Field Agent	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+1", "Pathfinder training, wayfinder upgrade"], ["2nd", "+1", "+1", "+1", "+1", "Bonus feat"], ["3rd", "+2", "+1", "+2", "+2", "Pathfinder training"], ["4th", "+3", "+1", "+2", "+2", "Wayfinder upgrade"], ["5th", "+3", "+2", "+3", "+3", "Bonus feat"], ["6th", "+4", "+2", "+3", "+3", "Pathfinder training"], ["7th", "+5", "+2", "+4", "+4", "Wayfinder upgrade"], ["8th", "+6", "+3", "+4", "+4", "Bonus feat"], ["9th", "+6", "+3", "+5", "+5", "Pathfinder training"], ["10th", "+7", "+3", "+5", "+5", "Legends uncovered, wayfinder upgrade"]]
Pathfinder Savant	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Adept activation, master scholar", "—"], ["2nd", "+1", "+1", "+1", "+1", "Esoteric magic, glyph-finding", "+1 level of existing class"], ["3rd", "+1", "+1", "+1", "+2", "Scroll master", "+1 level of existing class"], ["4th", "+2", "+1", "+1", "+2", "Quick identification", "+1 level of existing class"], ["5th", "+2", "+2", "+2", "+3", "Sigil master", "+1 level of existing class"], ["6th", "+3", "+2", "+2", "+3", "Analyze dweomer, silence master", "+1 level of existing class"], ["7th", "+3", "+2", "+2", "+4", "Dispelling master", "+1 level of existing class"], ["8th", "+4", "+3", "+3", "+4", "Symbol master", "+1 level of existing class"], ["9th", "+4", "+3", "+3", "+5", "Spellcasting master", "+1 level of existing class"], ["10th", "+5", "+3", "+3", "+5", "Item master", "+1 level of existing class"]]
Pit Fighter	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Poor equipment, showmanship 1/day"], ["2nd", "+2", "+1", "+1", "+1", "Arena weapon expertise +1"], ["3rd", "+3", "+2", "+1", "+1", "Weapon trick"], ["4th", "+4", "+2", "+1", "+1", "Showmanship 2/day"], ["5th", "+5", "+3", "+2", "+2", "Arena weapon expertise +2, roar of the crowd"], ["6th", "+6", "+3", "+2", "+2", "Tricky assault"], ["7th", "+7", "+4", "+2", "+2", "Showmanship 3/day"], ["8th", "+8", "+4", "+3", "+3", "Arena weapon expertise +3"], ["9th", "+9", "+5", "+3", "+3", "Brutal trick"], ["10th", "+10", "+5", "+3", "+3", "Greater roar of the crowd, showmanship 4/day"]]
Proctor	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+0", "Monitor familiar, obedience, soultended", "—"], ["2nd", "+1", "+1", "+1", "+1", "Monitor expression", "+1 level of existing class"], ["3rd", "+2", "+2", "+1", "+1", "Monitor boon 1", "+1 level of existing class"], ["4th", "+3", "+2", "+1", "+1", "Summon monitor", "+1 level of existing class"], ["5th", "+3", "+3", "+2", "+2", "Improved monitor expression", "+1 level of existing class"], ["6th", "+4", "+3", "+2", "+2", "Monitor boon 2", "+1 level of existing class"], ["7th", "+5", "+4", "+2", "+2", "Solemn voice", "+1 level of existing class"], ["8th", "+6", "+4", "+3", "+3", "Summon monitor", "+1 level of existing class"], ["9th", "+6", "+5", "+3", "+3", "Monitor boon 3", "+1 level of existing class"], ["10th", "+7", "+5", "+3", "+3", "Expression immunities", "+1 level of existing class"]]
Prophet of Kalistrade	[["", "Spells Per Day"], ["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "1st", "2nd", "3rd", "4th"], ["1st", "+0", "+0", "+0", "+1", "Auspicious display +1", "1", "-", "-", "-"], ["2nd", "+1", "+1", "+1", "+1", "Purchase spells", "2", "-", "-", "-"], ["3rd", "+2", "+1", "+1", "+2", "—", "3", "-", "-", "-"], ["4th", "+3", "+1", "+1", "+2", "Auspicious display +2, business acumen", "3", "1", "-", "-"], ["5th", "+3", "+2", "+2", "+3", "—", "4", "2", "-", "-"], ["6th", "+4", "+2", "+2", "+3", "Mystical contacts", "4", "3", "-", "-"], ["7th", "+5", "+2", "+2", "+4", "Auspicious display +3", "4", "3", "1", "-"], ["8th", "+6", "+3", "+3", "+4", "Prophet’s chest", "4", "4", "2", "-"], ["9th", "+6", "+3", "+3", "+5", "Planar contacts", "5", "4", "3", "-"], ["10th", "+7", "+3", "+3", "+5", "Auspicious display +4", "5", "4", "3", "1"]]
Pure Legion Enforcer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "Aura sense, nonbeliever"], ["2nd", "+2", "+1", "+1", "+1", "Divine detective, voice of law"], ["3rd", "+3", "+2", "+1", "+2", "Improved godless healing"], ["4th", "+4", "+2", "+1", "+2", "Confiscate, decree of law"], ["5th", "+5", "+3", "+2", "+3", "Discern lies, disruptive critical"], ["6th", "+6", "+3", "+2", "+3", "Edict of law"], ["7th", "+7", "+4", "+2", "+4", "Iconoclast"], ["8th", "+8", "+4", "+3", "+4", "Absolute law"], ["9th", "+9", "+5", "+3", "+5", "Traces of divinity"], ["10th", "+10", "+5", "+3", "+5", "Iron-willed atheist"]]
Rage Prophet	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Savage seer, spirit guide", "—"], ["2nd", "+1", "+1", "+1", "+1", "Rage prophet mystery, raging healer", "+1 level of divine spellcasting class"], ["3rd", "+2", "+2", "+1", "+2", "Indomitable caster", "+1 level of divine spellcasting class"], ["4th", "+3", "+2", "+1", "+2", "Ragecaster (caster level), rage prophet mystery", "+1 level of divine spellcasting class"], ["5th", "+3", "+3", "+2", "+3", "Spirit guardian", "—"], ["6th", "+4", "+3", "+2", "+3", "Enduring rage, rage prophet mystery", "+1 level of divine spellcasting class"], ["7th", "+5", "+4", "+2", "+4", "Ragecaster (save DC)", "+1 level of divine spellcasting class"], ["8th", "+6", "+4", "+3", "+4", "Rage prophet mystery, raging spellstrength", "—"], ["9th", "+6", "+5", "+3", "+5", "Spirit warrior", "+1 level of divine spellcasting class"], ["10th", "+7", "+5", "+3", "+5", "Greater rage, rage prophet mystery", "+1 level of divine spellcasting class"]]
Razmiran Priest	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Domain of Razmir, first ritual", "—"], ["2nd", "+1", "+1", "+1", "+1", "False channel 1d6", "+1 level of arcane spellcasting class"], ["3rd", "+2", "+1", "+1", "+2", "Master of lies", "+1 level of arcane spellcasting class"], ["4th", "+3", "+1", "+1", "+2", "False channel 2d6", "+1 level of arcane spellcasting class"], ["5th", "+3", "+2", "+2", "+3", "Domain of Razmir, second ritual", "—"], ["6th", "+4", "+2", "+2", "+3", "False channel 3d6", "+1 level of arcane spellcasting class"], ["7th", "+5", "+2", "+2", "+4", "Conversion", "+1 level of arcane spellcasting class"], ["8th", "+6", "+3", "+3", "+4", "False channel 4d6", "+1 level of arcane spellcasting class"], ["9th", "+6", "+3", "+3", "+5", "Third ritual", "—"], ["10th", "+7", "+3", "+3", "+5", "False channel 5d6, true pretender", "+1 level of arcane spellcasting class"]]
Red Mantis Assassin	[["", "Spells Per Day"], ["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "1st", "2nd", "3rd", "4th"], ["1st", "+0", "+0", "+1", "+1", "Sneak attack +1d6, sabre fighting 1", "1", "-", "-", "-"], ["2nd", "+1", "+1", "+1", "+1", "Prayer attack", "2", "-", "-", "-"], ["3rd", "+2", "+1", "+2", "+2", "Red shroud", "3", "-", "-", "-"], ["4th", "+3", "+1", "+2", "+2", "Summon mantis, sneak attack +2d6", "3", "1", "-", "-"], ["5th", "+3", "+2", "+3", "+3", "Resurrection sense, sabre fighting 2", "4", "2", "-", "-"], ["6th", "+4", "+2", "+3", "+3", "Mantis form", "4", "3", "-", "-"], ["7th", "+5", "+2", "+4", "+4", "Sneak attack +3d6, sabre fighting 3", "4", "3", "1", "-"], ["8th", "+6", "+3", "+4", "+4", "Blood mantis form, fading", "4", "4", "2", "-"], ["9th", "+6", "+3", "+5", "+5", "Mantis doom", "5", "4", "3", "-"], ["10th", "+7", "+3", "+5", "+5", "Death mantis form, sneak attack +4d6", "5", "4", "3", "1"]]
Riftwarden	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Counter-summons, planar guide", "—"], ["2nd", "+1", "+1", "+1", "+1", "Planar channel", "+1 level of spellcasting class"], ["3rd", "+2", "+2", "+1", "+2", "Eradication +1", "+1 level of spellcasting class"], ["4th", "+3", "+2", "+1", "+2", "Counterport, planar guide", "+1 level of spellcasting class"], ["5th", "+3", "+3", "+2", "+3", "Planar scourge", "—"], ["6th", "+4", "+3", "+2", "+3", "Eradication +2", "+1 level of spellcasting class"], ["7th", "+5", "+4", "+2", "+4", "Improved counterport, planar guide", "+1 level of spellcasting class"], ["8th", "+6", "+4", "+3", "+4", "Planar purge", "+1 level of spellcasting class"], ["9th", "+6", "+5", "+3", "+5", "Eradication +3", "—"], ["10th", "+7", "+5", "+3", "+5", "Greater counterport, planar guide", "+1 level of spellcasting class"]]
Ritualist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Esoteric discovery, student of mysteries", "+1 level of existing spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Stabilize ritual", "+1 level of existing spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Esoteric discovery, occult expertise", "+1 level of existing spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Cautious rituals", "+1 level of existing spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Expediated rituals", "+1 level of existing spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Esoteric discovery", "+1 level of existing spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Independent rituals", "+1 level of existing spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Focused rituals", "+1 level of existing spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Esoteric discovery", "+1 level of existing spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Master of mysteries", "+1 level of existing spellcasting class"]]
Rivethun Emissary	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Spirit animal, spirit bond, sixth sense (undead)", "—"], ["2nd", "+1", "+1", "+1", "+1", "Animus (summon monster IV), sixth sense (fey)", "+1 level of existing class"], ["3rd", "+2", "+1", "+1", "+2", "Manifest will, sixth sense (outsiders)", "+1 level of existing class"], ["4th", "+3", "+1", "+1", "+2", "Animus (summon monster V, 2/day)", "+1 level of existing class"], ["5th", "+3", "+2", "+2", "+3", "Parley, spirit conduit (augment)", "—"], ["6th", "+4", "+2", "+2", "+3", "Animus (summon monster VI), manifest will", "+1 level of existing class"], ["7th", "+5", "+2", "+2", "+4", "Spirit conduit (recall)", "+1 level of existing class"], ["8th", "+6", "+3", "+3", "+4", "Animus (summon monster VII, 3/day)", "+1 level of existing class"], ["9th", "+6", "+3", "+3", "+5", "Manifest will", "—"], ["10th", "+7", "+3", "+3", "+5", "Animus (summon monster VIII), spirit conduit (commune)", "+1 level of existing class"]]
Rose Warden	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Anonymity, insurgent technique, liberated mind, street sentinel +2"], ["2nd", "+1", "+1", "+1", "+1", "Sneak attack +1d6, voice of the masses"], ["3rd", "+2", "+1", "+2", "+1", "Cunning disarm, insurgent technique"], ["4th", "+3", "+1", "+2", "+1", "Insurrectionist, sneak attack +2d6"], ["5th", "+3", "+2", "+3", "+2", "Advanced insurgent technique, liberated mind +4"], ["6th", "+4", "+2", "+3", "+2", "Sneak attack +3d6, street sentinel +4"], ["7th", "+5", "+2", "+4", "+2", "Advanced insurgent technique, obfuscate"], ["8th", "+6", "+3", "+4", "+3", "Rallying courage, sneak attack +4d6"], ["9th", "+6", "+3", "+5", "+3", "Advanced insurgent technique"], ["10th", "+7", "+3", "+5", "+3", "Smite tyranny, sneak attack +5d6"]]
Runeguard	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Rune magic, virtuous rune", "—"], ["2nd", "+1", "+1", "+1", "+1", "Virtuous rune", "+1 level of existing spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Rune focus +1", "+1 level of existing spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Virtuous rune", "+1 level of existing spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Virtuous rune", "+1 level of existing spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Virtuous rune", "+1 level of existing spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Rune focus +2", "+1 level of existing spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Virtuous rune", "+1 level of existing spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Virtuous rune", "+1 level of existing spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Sihedron rune mastery", "+1 level of existing spellcasting class"]]
Sacred Sentinel	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "Code of Torag, stragetic protection (+3/30 feet)"], ["2nd", "+2", "+1", "+1", "+1", "Renewed bonds"], ["3rd", "+3", "+2", "+1", "+2", "Healing touch (3d8), tempering touch +1"], ["4th", "+4", "+2", "+1", "+2", "Strategic protection (+4/40 feet),"], ["5th", "+5", "+3", "+2", "+3", "Uncanny dodge"], ["6th", "+6", "+3", "+2", "+3", "Healing touch (4d8), tempering touch +2"], ["7th", "+7", "+4", "+2", "+4", "Stragetic protection (+5/50 feet)"], ["8th", "+8", "+4", "+3", "+4", "Swift shield other"], ["9th", "+9", "+5", "+3", "+5", "Healing touch (5d8), tempering touch +3"], ["10th", "+10", "+5", "+3", "+5", "Strategic protection (+6/60 feet), unyielding"]]
