name	source	hit_die	alignment	role	requirements	description	url
Heritor Knight	Paths of the Righteous pg. 16	d10.	Lawful good, lawful neutral, or neutral good.			Some seek to follow in the footsteps of Iomedae the Inheritor through study of the miracles of her mortal life.Requirements<br>To qualify to become a heritor knight, a character must fulfill all of the following criteria.<br>Base Attack Bonus: +5.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Heritor%20Knight
Hinterlander	Paths of the Righteous pg. 18	d10.	Lawful good or neutral good.			Guards patrol great cities and druids protect the deep forests, but what of the boundaries between them? The hinterlands comprise the farmlands and woodland villages of Golarion, a liminal space between humanity and the wild. Some of the rugged men and women who defend these pockets of civilization are the hinterlanders. Hinterlanders are followers of Erastil who shield rural folk from dangerous creatures, extraplanar interlopers, and marauding undead. A hinterlander is skilled with a bow and in tune with the wild, yet capable of harnessing natural resources to nourish mortal communities. They are often touched by the divine, sworn to guard the borders of towns and villages against the forces that threaten to snuff out the hearth fires.Requirements<br>To qualify to become a hinterlander, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Hinterlander
Holy Vindicator	Advanced Player's Guide pg. 263	d10.	While lawful vindicators are somewhat more common, vindicators may be of any alignment.	The holy vindicator has substantial spellcasting ability, though not so much as a focused cleric or paladin. His combat skills are considerable and his healing powers prodigious, and those whose religious views align well with the vindicator will find a ready ally.		Many faiths have within their membership an order of the church militant, be they holy knights or dark warriors, who put their lives and immortal souls on the line for their faith. They are paragons of battle, eschewing sermons for steel. These men and women are living conduits of divine power, down to their very blood, which they happily shed in a moment if it brings greater glory to their deity or judgment upon heretics, infidels, and all enemies of the faith.<br>Holy vindicators are usually clerics or fighter/clerics, though many paladins (or even paladin/clerics) are drawn to this class as well. In all cases, the class offers a further opportunity to fuse and refine their martial and ministerial powers and role.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Holy%20Vindicator
Horizon Walker	Advanced Player's Guide pg. 265	d10.	Anyone can crave new vistas and constant travel, and thus a horizon walker can be of any alignment.	Horizon walkers have the accuracy and resilience to face frontline combat. They also have the skills and abilities to make excellent scouts, often taking the role of the first member of a group into danger and the last one out. Of course, walkers shine when adventuring in areas that match their many favored terrains, but many of the tricks they pick up in specific regions have application in a wide range of situations, allowing a horizon walker to be more mobile and resourceful than typical combatants.		Those whose wanderlust drives them to push the boundary of safe environments sometimes seek the calling of the horizon walker. Horizon walkers are masters of travel, always seeking to find the safe ways through inhospitable terrain. They are comfortable in places others speak of only in hushed whispers, and they can both venture forth onto untrod paths themselves and guide the less-traveled through such hazardous lands.<br>Though rangers are most likely to be attracted to the ever-wandering life common to horizon walkers, barbarians, fighters, and rogues have also been known to find it appealing. Horizon walkers are most common in areas on the edge of civilization, where they can easily spend time away from the known and boring streets of settled lands.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Horizon%20Walker
Inner Sea Pirate	Pirates of the Inner Sea pg. 24	d8.	Inner Sea pirates are often chaotic and rarely good, but can be any nonlawful alignment.	While many sailors in the waters around Avistan and Garund work as pirates, those experienced enough to take levels in this prestige class show more talent than do common deck hands. Inner Sea pirates often captain their own ships; those who do not usually serve as officers or aboard notorious ships under accomplished captains.		Pirates of the Inner Sea region sail many different bodies of water in search of plunder, from the most common Shackles pirates to the privateers of Andoran and the fast-moving brigands of the River Kingdoms. Those who prove handy on a ship might rise to the rank of captain and command their own ships. Inner Sea pirates are adept at both sailing and sword fighting, and most have looked death in the face more than once. They possess a variety of skills that prove useful when sailing and plundering, and two Inner Sea pirates might be quite different from each other.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Inner%20Sea%20Pirate
Justicar	Pathfinder #8: Seven Days to the Grave pg. 69	d8.	Any lawful.			Justiciars embody law and civilization wherever they go, from the most corrupt depths of a city slum to the wildest frontier lands. They arbitrate disputes, deal with criminals, and establish law where there is none. In pleasant times they are diplomats, in dangerous ones they are judge, jury, and executioner. Their feet leave trails destined to become great roads, and their decrees carry the force of law. Being a justiciar is a serious duty and is not taken lightly—they tend to wear down over time, weathered not from travel and sunlight but from the heavy burden of carrying civilization forward into the future. A rare few pursue heretics of their own religion, keeping the faith stable and weeding out unruly elements. Each is sworn to uphold a religious or secular code.<br>Justiciars are usually clerics or paladins of Abadar, but order-minded individuals of other classes (particularly fighters, monks, and wizards) sometimes heed the calling to tend the roots of enlightened society.Requirements<br>To qualify to become a justiciar, a character must fulfill all of the following criteria:	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Justicar
Knight of Ozem	Paths of Prestige pg. 30	d10.				Guardians of a sacred trust, the Knights of Ozem are a chivalrous order based out of Lastwall and dedicated to guarding against the return of Tar-Baphon, the dreaded Whispering Tyrant. They also fight against the schemes of all undead creatures and any plots to increase the power of undeath, especially those associated with the Whispering Way.<br>The order is deeply religious, composed of devoted worshipers of their current patron deity, Iomedae. At the height of the Shining Crusade, the Knights of Ozem venerated Aroden and summoned Arazni, demigod and warrior-herald of Aroden, to aid them in their battle against the Whispering Tyrant. Arazni’s death at Tar- Baphon’s hands and the demise of Aroden at the start of the Age of Lost Omens caused the order to transfer its allegiance to Aroden’s inheritor—the goddess Iomedae, herself a heroine of the Shining Crusade. The Knights of Ozem hold a particular grudge against the ghostly wizardruler Geb, who stole Arazni’s corpse and reanimated her as a lich, taking her as his Harlot Queen. They pursue Arazni in her new form, in hopes of destroying her and giving her soul eternal rest.Requirements<br>To qualify to become a Knight of Ozem, a character must fulfill all of the following criteria.<br>Armor Proficiency: Must be proficient with heavy armor and shields (not including tower shields).<br>Deity: Must worship Iomedae.<br>Skills: Knowledge (religion) 5 ranks.<br>Weapon Proficiency: Must be proficient with the longsword.Class Skills<br>The Knight of Ozem's class skills are Heal (Wis), Knowledge (arcana) (Int), Knowledge (religion) (Int), Ride (Dex), Sense Motive (Wis), and Spellcraft (Int).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Knight%20of%20Ozem
Lantern Bearer	Adventurer's Guide pg. 110	d10.	Any good.			Originally, only elves were allowed to join the Lantern Bearers, but with the destruction of the Winter Council and the group’s new focus on openness, these restrictions have been abandoned. While elves still hold a majority in the organization and its base of operations remains in Kyonin, any who seek to further the group’s goals are welcome as members. The same goes for those passionate about opposing demonic influences or threats from the Darklands. These dedicated soldiers and redeemers, called Lantern Bearers after the group that gave rise to them, form the backbone of that organization.<br>While Lantern Bearers direct the majority of their missions and goals in the Darklands, particularly in fighting against the machinations of the drow, they have increasingly turned to surface regions where demonic corruptions similar to those suffusing drow society have erupted. The primary focus is on the doorstep of their own homeland of Kyonin: the swampy realm of Tanglebriar, where the nascent demon lord Treerazer rules. The Worldwound has also seen a considerable number of Lantern Bearers joining the crusade, but they are increasingly encountered throughout the Inner Sea region, especially as drow agents and their influences on surface world interests become more and more apparent.Requirements<br>To qualify to become a Lantern Bearer, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Lantern%20Bearer
Liberator	Second Darkness Player's Guide pg. 22	d10.	Any nonlawful.			Liberators fight to free the wrongfully imprisoned—be they slaves, political prisoners, or princesses locked in towers. They rely on physical strength—but also quick wits—to overcome oppressors. Since charging blindly into battle could result in a prisoner’s death, liberators plan their rescues carefully.<br>Liberators despise slavers above all others, particularly races well known for these practices, such as the gnolls. While some liberators operate solely in cities, most dwell in or near territories held by known slaver organizations or groups. Liberators typically strike under the cover of darkness, and they usually seek to smuggle slaves to safety without alerting any guards. As a result, liberators develop many abilities related to navigating darkness and stealth.<br>In large cities, the law typically views the actions of liberators as dangerous, since they often show no respect for traditional investigative procedures. These feelings of distrust and disdain are shared by most liberators, who tend to see the law as a lumbering, ineffective giant. Liberators often operate in the shadows of society as a result, lest they become prisoners themselves. Rarely, city officials view liberators as expensive but effective mercenaries who bring results the average guardsman cannot. Liberators often find work in such cities, and in return gain cautious but respectful accolades for their deeds.Requirements<br>To qualify to become a liberator, a character must fulfill all the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Liberator
Lion Blade	Inner Sea Intrigue pg. 36	d8.	Any neutral.			Trained in the hidden Shadow Schools beneath the streets of Cassomir and Oppara, the Lion Blades of Taldor come from the empire’s most secretive school of fighting arts and espionage. They prefer to fight in crowded urban areas and are masters of motion, controlling both their own movement and those around them. With the flick of a blade, they can slow their enemies to a crawl and then step into a crowd and disappear from sight. Lion Blades are typically recruited out of the famous bardic colleges of Oppara, as the Shadow Schools want intelligent, flexible trainees. A Lion Blade usually spends at least a year in training before taking on missions for the Taldan Empire and various non-governmental organizations. Lion Blade PCs are often on extended loan for a specific purpose or given permission to adventure in order to perfect their art in real-world settings. A rare few Lion Blades shirk their responsibilities and work independently or even serve the enemies of Taldor— Cheliax particularly values these turncoats.Requirements<br>To qualify to become a Lion Blade, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Lion%20Blade
Living Monolith	People of the Sands pg. 25	d8.				The lands of Osirion, Rahadoum, and Thuvia-all once part of the realm of Ancient Osirion-are rife with aged ruins guarded by stony sentinels from bygone days, whose implacable gaze can still the heart of a miscreant or scare off a would-be tomb robber. The ancient race of sphinxes is said to have endowed the first living monoliths with their powers, raising statues to a semblance of life, but today, most of these paragons of justice are mortals who willingly take on the mantle of immortal warriors through ritual and devotion, imbuing themselves with the patience and eternal strength of stone.Requirements<br>To qualify to become a living monolith, a character must fulfill all of the following criteria.<br>Base Attack Bonus: +5.<br>Feats: Endurance, Iron Will.<br>Languages: Ancient Osiriani, Sphinx.<br>Skills: Knowledge (engineering) 4 ranks, Knowledge (history) 4 ranks, Knowledge (religion) 2 ranks.<br>Special: Must have a handcrafted stone scarab worth at least 1,000 gp created and bound to his forehead in a sacred ritual with at least one sphinx or living monolith present.Class Skills<br>The Living Monolith's class skills are Acrobatics (Dex), Climb (Str), Intimidate (Cha), Knowledge (engineering) (Int), Knowledge (history) (Int), Knowledge (religion) (Int), Linguistics (Int), Perception (Wis), and Sense Motive (Wis).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Living%20Monolith
Loremaster	PRPG Core Rulebook pg. 385	d6.	Most loremasters cannot be bothered with distracting and pointless philosophies such as ethics, and so tend to be neutral, neutral good, or neutral evil.	Loremasters' lives are spent in study, research, and fieldwork. While the first two lend themselves to the loremaster's reputation as a bookish recluse, the latter oftentimes forces a loremaster to seek out the aid of adventurers who, through a mutually beneficial arrangement, might provide a degree of protection to the scholar while he seeks whatever knowledge he is after. For his part, the loremaster provides a wealth of information and arcane firepower to a party. Some loremasters actively deride those of their kind who fear to leave the safety of the temple or library, pointing out that only old lore can be discovered in books—new lore must be sought out in the world. These more active loremasters might join up with an adventuring party for the benefit of the journey, content with whatever knowledge might be picked up along the way.		The loremaster is a gatherer and keeper of secrets. He is often obsessed by the written word, with cryptic and arcane lore serving as his devoted mistress. Holding to the adage that knowledge is power, the loremaster often forsakes material wealth and personal glory for rare or unusual information, an endless quest that brings him ever closer to his unattainable goal: perfection through edification. Often rejecting what he views as the pointless affectations and transitory pleasures of his short-sighted neighbors, the loremaster believes that the only worthwhile goal in life is the acquisition of intellectual might. After all, wealth is spent, passions fade, and the power of the body is limited by age, while the mind's capacity to grow greater with time is infinite.<br>The loremaster class holds little appeal for non-spellcasters—indeed, before one can devote a life to the studies and traditions of the loremaster, a character must first master several spells of the school of divination. Most loremasters begin their paths as clerics or wizards, but any character capable of casting enough divination spells can, eventually, become a loremaster.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Loremaster
Low Templar	Inner Sea World Guide pg. 280	d10.				“I do so swear under the Light, by the Sword and Scales of Truth and all the fires of heaven, to undertake this holy Crusade. I pledge to guard heart, spirit, body, and mind from the corruption of this Wound upon the World. I furthermore promise and declare that I shall wage relentless war against the Spawn of the Pit and their manifold legions, as directed by those with charge of this Crusade and whenever opportunity presents, to extirpate and annihilate their execrable race and any who serve them.”<br>So says the Crusader’s Oath—the sacred vow all new recruits to the fight to oppose the powers of the Worldwound must take and repeat every year on the 6th of Arodus. Yet in too many cases, these words are hollow falsehoods, for many of those who take up the sword to crusade in Iomedae’s name do so for their own glory.<br>After a time serving the crusades, some of these men and women attain such skill at serving the letter of the law while keeping to their own private agendas that they become low templars. Under a sanctified veneer, they walk a wavering line between heroism and thuggery. The church of Iomedae constantly struggles to maintain the morals of the crusaders, but when faced with the raw destruction of a demon host, sometimes the decision to support the lesser of two evils is the only real choice that can be made.Requirements<br>To qualify to become a low templar, a character must fulfill all the following criteria.<br>Feats: Mounted Combat, Weapon Focus (any martial weapon).<br>Skills: Bluff 5 ranks, Knowledge (nobility or planes) 2 ranks, Ride 5 ranks.Class Skills<br>The Low Templar's class skills are Appraise (Int), Bluff (Cha), Craft (Int), Diplomacy (Cha), Disguise (Cha), Escape Artist (Dex), Handle Animal (Cha), Intimidate (Cha), Knowledge (local) (Int), Knowledge (nobility) (Int), Knowledge (planes) (Int), Linguistics (Int), Ride (Dex), Sense Motive (Wis), Stealth (Dex), and Survival (Wis).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Low%20Templar
Magaambyan Arcanist	Adventurer's Guide pg. 118	d6.	Any good.			A Magaambyan arcanist studies and follows traditions of magic originally discovered by Old-Mage Jatembe himself, and uses these arcane secrets to continue Jatembe’s quest to bring decency and integrity to civilization. Despite the name of the class, any arcane spellcaster can expand her powers via this prestige class, not only arcanists. Most Magaambyan arcanists consider their studies to be a sacred duty and a tradition that spans the ages. As a Magaambyan arcanist learns the deeper meanings locked within the academy’s wisdom, she discovers the true enlightened and philanthropic purpose of the Magaambya.<br>Perhaps the most unusual facet of the Magaambyan arcanists’ magical techniques is their method of interpreting and using magic of a druidic nature as arcane power. This unusual combination allows the Magaambyan arcanist incredible versatility in her studies, for the secrets of druidic magic are normally beyond the ken of arcane spellcasters. Yet the Magaambyan arcanist does not merely copy the magic of the natural world—she expands upon it. She simultaneously respects the traditions from which this magic stems while exploring it in ways that druids, who view their magic as a result of their faith, rarely consider. This method of converting druidic spells to arcane spells is taxing to the mind, however, and since each Magaambyan arcanist must create her own such translations, the school has not made arcane versions of druidic spells available to all arcane spellcasters. In fact, most students of the Magaambya are opposed to such an endeavor, for as intrigued as they are by this magic, they respect its traditions and do not wish to see these secrets made freely available to those who may not share their respect.Requirements<br>To qualify to become a Magaambyan arcanist, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Magaambyan%20Arcanist
Mammoth Rider	Adventurer's Guide pg. 128	d12.				From the inhospitable arctic wastes of the far north come the mighty mammoth riders, fearsome warriors who have trained the great beasts that wander the chilly wilds to serve as their faithful steeds. Toughened by their harsh environment, mammoth riders tame their surroundings through tenacious determination and sheer force of will, fighting alongside their bestial companions to take down huge game and carve out a hard existence in the icy north.Requirements<br>To qualify to become a mammoth rider, a character must fulfill the following criteria.<br>Base Attack Bonus: +6.<br>Skills: Handle Animal 9 ranks, Ride 9 ranks, Survival 5 ranks.<br>Special: Animal companion (or mount from a class feature that progresses as an animal companion) with at least 6 Hit Dice.Class Skills<br>The Mammoth Rider's class skills are Handle Animal (Cha), Heal (Wis), Intimidate (Cha), Ride (Dex), and Survival (Wis).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Mammoth%20Rider
Master Chymist	Advanced Player's Guide pg. 267	d10.	A master chymist actually has two alignments (see the mutagenic form ability). The only restriction on these alignments is that they cannot be exactly the same.	Master chymists are rarely accepted by society once their nature is revealed, and thus they have a strong motivation to keep on the move. Adventuring is one of the few activities that their monstrous form can be useful for, leading many to constantly explore dangerous areas on the edge of civilization. A master chymist's resilience and ability to combine bomb-throwing mayhem with up-close melee carnage is a great benefit to many adventuring parties, buying the master chymist allies who are at least willing to overlook her more distasteful features.		When alchemists blithely use mutagens to turn themselves into hulking creatures of muscle and reflex, civilized folk often turn their heads and mutter that such transformations must have a price. For a few alchemists, that price is transformation into a master chymist, a creature able to take a monstrous brute form as an act of will.<br>Master chymists become two personalities sharing a single body. Both the hulking “mutagenic form” of alchemical prowess and the original alchemist who created it think of themselves as the true form, and they must learn to work together to achieve their joint goals. More often than not, master chymists eventually become their mutagenic form, and the original alchemist's body and mind may only be brought forth when required by social custom or a need for obscurity and stealth arises. Unfortunately, the mutagenic form of a master chymist is often a more violent, unforgiving personality (which can lead to conflict between the two versions of the same character).	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Master%20Chymist
Master Spy	Advanced Player's Guide pg. 270	d8.	The practice of espionage demands discipline and a certain amount of moral and ethical flexibility; more master spies are neutral than lawful or chaotic.	Master spies rarely work with others unless they are under cover. The special skills that serve them so well in the field ironically make them exceptional leaders, but a master spy's natural inclination toward secrecy pushes her away from the limelight. Note that a master spy among adventurers may not intend to betray them; armed heroes provide excellent cover for a master spy's true mission, whether or not they know the spy's intent.		Unparalleled practitioners of deception, master spies rely on deceit and trickery over brawn and spells. A master spy is an expert at both magical and nonmagical means of evading detection, and quick-witted when it comes to improvisation. Master spies may serve countries or private interests, or sell their services to the highest bidder without a thought to long-term loyalty.<br>Bards and rogues, with their wide range of skills, are particularly well suited for the demands of spying. Rogues can easily pass themselves off as members of most nonmagical professions (though playing an armored warrior impedes their natural abilities), while bluffing bards can impersonate a wide range of other spellcasters well enough to fool a casual observer. Versatility and adaptability are the watchwords for espionage, and successful master spies let others complete their deception for them, subtly drawing targets into their machinations.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Master%20Spy
Mortal Usher	Pathfinder #144: Midwives to Death pg. 76	d8.	Any neutral.			Whether the trouble is a formidable lich draining power from thousands of enslaved ghosts or a qlippoth funneling stolen souls through an Abyssal stronghold, occasionally the psychopomps must enlist a mortal usher—a living agent imbued with their power and cunning—to travel where even the guardians of the River of Souls cannot tread.Requirements<br>To qualify to become a mortal usher, a character must fulfill all the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Mortal%20Usher
Mystery Cultist	Chronicle of the Righteous pg. 48	d8.	Any good.			Among the most pious worshipers of the empyreal<br>lords are those known as mystery cultists. These zealots<br>hone their spellcasting powers in honor of their patron<br>empyreal lord and dedicate their lives to the teachings of this<br>entity. The most powerful and respected mystery cultists<br>become leaders of their own mystery cults and use their<br>not insignificant resources to further the cause of good.Requirements<br>To qualify to become a mystery cultist, a character must<br>fulfill all of the following criteria:	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Mystery%20Cultist
Mystic Theurge	PRPG Core Rulebook pg. 387	d6.	The motivations of a mystic theurge rarely stem from a sense of altruism or philanthropy, so most tend to be neutral, neutral good, or neutral evil. Lawful mystic theurges, whether good, neutral, or evil, are rarer, and often use their powers for either the benefit—or control—of society. Chaotic mystic theurges are rarer still, as the calling generally requires great personal discipline.	The mystic theurge is a powerful component for any party, supplying magic for attack, defense, and healing. Mystic theurges travel the world in search of arcane and holy artifacts, magical lore, or divine revelations, and most have no qualms about teaming up with groups of adventurers so long as that group's goals do not directly conflict with their own.		Mystic theurges place no boundaries on their magical abilities and find no irreconcilable paradox in devotion to the arcane as well as the divine. They seek magic in all of its forms, finding no reason or logic in denying themselves instruction by limiting their knowledge to one stifling paradigm, though many are simply hungry for limitless power. No matter what their motivations, mystic theurges believe that perception is reality, and through the divine forces and astral energies of the multiverse, that perception can be used to manipulate and control not only the nature of this reality, but destiny itself.<br>Mystic theurges are drawn from multiclass spellcasters who can already cast both arcane and divine spells, and the powers that they gain increase their mastery over both.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Mystic%20Theurge
Nature Warden	Advanced Player's Guide pg. 272	d8.	Nature wardens tend toward nonevil alignments, as many pursue their profession out of a desire to help and protect others. Occasionally evil wardens can be found turning the bitter realities of the wild upon their enemies or guarding natural sites tainted by dark fey.	The nature warden is a master of wilderness environments and is at her most powerful in any of the variety of environments that she has studied. She and her animal companion form a potent team. They are excellent scouts and versatile warriors, able to supplement their skills with spells to fulfill almost any role.		Nature wardens are guardians of the wild places of the world, hunters and explorers par excellence, highly skilled in negotiating their way among the nonhuman inhabitants of the wild. Nature wardens befriend and train a beast of the wild as a companion, and some call wardens “beastmasters” because of these pets, but nature wardens are much more than tamers of wild things. They are experts at navigating the harsh brutality of nature's fury and making do with whatever tools and weapons present themselves, but they go beyond being hardy survivalists to become cunning tacticians with keen analytical minds, able to adapt and prepare for any situation and make the absolute best use of the advantages that any terrain or environment can afford them.<br>Nature wardens are usually druids or ranger/druids, though occasional ranger/clerics with the Animal domain or even single-classed high-level rangers or multiclassed rangers explore this class.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Nature%20Warden
Noble Scion	Paths of Prestige pg. 38	d8.				Whether from a privileged upbringing or social elevation through worthy deeds, nobility is a station to which many aspire. To some noble scions, their mantle is one of responsibility and the duties of governance. To others, the privileges of rank are rewards to flaunt and lavish upon themselves, without consideration of the commoners, peasants, and other underlings who exist wholly beneath their notice.<br>The aristocracies of Golarion’s many countries are as varied as the lands they reside within. A Taldan viceroy on his way to the opera, bedecked in spectacularly gaudy evening attire complete with an exquisitely jeweled codpiece, is a far cry from a Qadiran princess in riding apparel of finest silk astride a priceless thoroughbred stallion. That said, all scions of nobility have a number of features in common: power, servants, wealth, and the firm certainty that their place is at the apex of society.Requirements<br>To qualify to become a noble scion, a character must fulfill all of the following criteria.<br>Feats: Noble Scion (The Inner Sea World Guide 288) or Skill Focus (any skill that’s a class skill for this prestige class).<br>Skills: Bluff 2 ranks, Diplomacy 2 ranks, Knowledge (nobility) 5 ranks, Sense Motive 2 ranks.<br>Special: Must have been granted noble rights, be part of the aristocracy, or have been born, married, or adopted into a noble family.Class Skills<br>The Noble Scion's class skills are Appraise (Int), Bluff (Cha), Diplomacy (Cha), Disguise (Cha), Intimidate (Cha), Knowledge (all) (Int), Perception (Wis), Perform (Cha), Ride (Dex), and Sense Motive (Wis).<br>Skill Points at each Level: 6 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Noble%20Scion
Pain Taster	Occult Mysteries pg. 46	d10.	Any nongood.			For pain tasters, agony is more than a pleasure—it’s a path to power. Until recently, pain tasting was a practice employed exclusively by the drow. However, in recent decades Kuthite scholars have begun spreading details about the practice through cult circles. Though on the surface most pain tasters are followers of Zon-Kuthon, that path is now beginning to crop up among other evil and neutral cults as well.Requirements<br>To become a pain taster, a character must fulfill all the following criteria.<br>Feats: Diehard, Endurance, Great Fortitude.<br>Skills: Heal 5 ranks, Intimidate 5 ranks.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Pain%20Taster
Pathfinder Chronicler	PRPG Core Rulebook pg. 388	d8.	A Pathfinder chronicler's alignment largely determines her motivations. Good characters tend to view their missions as noble ventures, neutral characters seek to preserve knowledge for knowledge's sake, and evil characters are driven by an urge to accumulate wealth and add to their own glory.	The Pathfinder chronicler's missions often thrust her into the role of party leader, and adventures typically result from, and revolve around, his endless quests.		Brave explorers and scavengers of lost or forgotten knowledge, Pathfinder chroniclers are quintessential adventurers, exploring the world for esoteric truths, magical and mundane relics and artifacts, and new and mysterious vistas, be they wonderful or terrible. For some, this journey is purely about the wealth, for others the glory of discovery, and still more are stirred by the irresistible drive to uncover the bones of the ages and legends of forgotten epochs in an effort to chronicle the deeds of yesterday, today, and tomorrow.<br>The Pathfinder chronicler class attracts any who see the world as a great mystery to be unraveled, and thus has a diverse and varied following, from fighters and bards to wizards and clerics, and everything in between. However, due to their role as historians and preservers of posterity, hopefuls must be literate and scholarly—for Pathfinder chroniclers are more than mere treasure hunters.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Pathfinder%20Chronicler
Pathfinder Delver	Adventurer's Guide pg. 138	d8.				Not all Pathfinders are concerned with cataloging their exploits. Some are most at home treading ground untouched in years or even centuries, in search of the next challenge, the next dungeon, or the next ancient treasure. Pathfinder delvers prefer to leave the journaling to others and set off on a new grand adventure before the ink dries on the chronicles of their last. Often they’re accompanied by a cohort or other companion who might not have the bravery (or foolhardiness) to go it alone on a grand adventure, but is more than willing to chronicle the exploits and adventures of another. For many in the Pathfinder Society, the delvers represent a frustrating combination—on the one hand, their eagerness to explore helps the Society reach areas and learn secrets that may otherwise go undiscovered. On the other hand, their tendency toward poor documentation worries many Society members, who fear that the bulk of what a delver might discover will go unreported.<br>Pathfinder delvers run the gamut from dedicated archaeologists to thrill-seeking adventurers to unprincipled tomb robbers. Their choice of companionship is similarly varied; some travel with other Pathfinders, some take up with any who will join their quests, and some go it alone. Nearly all share a love of knowledge and history, though, and would go to great lengths to preserve a historic find that is at risk of being destroyed or lost forever.Requirements<br>To qualify to become a Pathfinder delver, a character must fulfill the following criteria.<br>Skills: Acrobatics 5 ranks, Disable Device 4 ranks, Knowledge (history) 4 ranks, Perception 5 ranks.<br>Special: Must have recovered an object of historical significance from an ancient ruin or similar historic location. The nature of this object can vary, but it must be presented to a Pathfinder Lodge and be verified by an agent there. The object need not be handed over to the Society— in most cases, these objects are ancient magical items discovered in the course of adventuring and remain in the possession of the Pathfinder delver. Ioun stones are some of the more commonly presented items for this purpose.Class Skills<br>The Pathfinder Delver's class skills are Acrobatics (Dex), Appraise (Int), Bluff (Cha), Climb (Str), Diplomacy (Cha), Disable Device (Dex), Escape Artist (Dex), Knowledge (all) (Int), Linguistics (Int), Perception (Wis), Sense Motive (Wis), Sleight of Hand (Dex), Stealth (Dex), Survival (Wis), Swim (Str), and Use Magic Device (Cha).<br>Skill Points at each Level: 8 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Pathfinder%20Delver
Pathfinder Field Agent	Pathfinder Society Primer pg. 18	d8.				Equipped with a variety of skills and trained to keep a<br>cool head even in the most dire circumstances, a practiced<br>Pathfinder field agent is a boon to any adventuring party.Requirements<br>To qualify to become a Pathfinder field agent, a character<br>must fulfill all the following criteria.<br>Feats: Skill Focus (any).<br>Skills: Knowledge (any) 5 ranks, Linguistics 1 rank,<br>Perception 1 rank.<br>Special: Must be an active member of the Pathfinder<br>Society and own a wayfinder.Class Skills<br>The Pathfinder Field Agent's class skills are Bluff (Cha), Climb (Str), Diplomacy<br>(Cha), Disable Device (Dex), Escape Artist (Dex), Heal<br>(Wis), Knowledge (all) (Int), Linguistics (Int), Perception<br>(Wis), Sense Motive (Wis), Stealth (Dex), Swim (Str), and<br>Use Magic Device (Cha).<br>Skill Points at each Level: 6 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Pathfinder%20Field%20Agent
