name	type	category	source	requirements	description	url
Northern Ancestry	Campaign	Campaign	Reign of Winter Player's Guide pg. 6		One of your parents came from the North, and the tales of the frozen lands at the top of the world that you grew up listening to excited your imagination. Alternatively, maybe one of your ancestors passed on the blood of some frost-rimed creature. You feel most alive during the chill of winter, and as a child, you spent hours playing in the snow. You rarely feel the cold, and you’ve always had a restless longing to travel north. You gain a +1 trait bonus on Fortitude saves, as well as cold resistance 2; this resistance does not stack with cold resistance gained from any other source.	https://aonprd.com/TraitDisplay.aspx?ItemName=Northern%20Ancestry
Numerian Archaeologist	Campaign	Campaign	Iron Gods Player's Guide pg. 9		Numeria is a land ripe for archaeological exploration, since so many of the strange technological dungeons have been either avoided by the superstitious barbarian tribes or have been locked down by the Technic League, leaving many of them untouched and ripe for exploration. You’ve studied the strange language associated with these eerie technological ruins, and are eager to start exploring them—you suspect that Torch’s namesake is in fact part of a larger buried ruin, and you hope to enter these ruins and learn their original purpose by exploring the caves below town. You gain Androffan as an additional language. In addition, you possess a knack for technological items; when you use a timeworn technological item, roll twice when determining any glitches the item might cause and choose which result to use as your actual result. Talk to your GM for more information about resolving glitches.	https://aonprd.com/TraitDisplay.aspx?ItemName=Numerian%20Archaeologist
On the Payroll	Campaign	Campaign	Carrion Crown Player's Guide pg. 12		Whether he needed a bodyguard in a rough neighborhood, a guide to an isolated archeological dig, or information on a specialized topic, Professor Lorrimor was never shy about hiring professionals to help him attain his goals. Over the course of his long career, thousands of people throughout the world served his needs and benefited from his generous wages (usually covered by his academic benefactor at the time). He had contacts in most areas of expertise in every corner of the known world, a knack for recognizing talent, and a desire to be surrounded by the best and brightest at all times. Whatever job the professor originally hired you for, your performance captured his attention, and he hired you many times throughout your career, sometimes even for jobs away from your home, always paying your expenses and compensating you well for your time. In your area of expertise, you are among the best.<br>Your years of hard work have paid off, granting you an additional 150 gp in starting wealth.	https://aonprd.com/TraitDisplay.aspx?ItemName=On%20the%20Payroll
Optimistic Gambler	Campaign	Campaign	Second Darkness Player's Guide pg. 15		You’ve always seemed to have trouble keeping money. Worse, you always seem to have debts looming over your head. When you heard about the “Cheat the Devil and Take His Gold” gambling tournament, you felt in your gut that your luck was about to change. You’ve always been optimistic, in fact, and even though right now is one of those rare times where you don’t owe anyone any money (you just paid off a recent loan from local moneylender Lymas Smeed), you know that’ll change soon enough. Better to start amassing money now when you’re at one of those rare windfall times! You’ve set aside a gold coin for the entrance fee, and look forward to making it big—you can feel it in your bones! This time’s gonna be the big one! Your boundless optimism, even in the face of crushing situations, has always bolstered your spirit. Effects that grant you morale bonuses persist 1d4 rounds longer than they normally would as a result.	https://aonprd.com/TraitDisplay.aspx?ItemName=Optimistic%20Gambler
Orphaned by Giants	Campaign	Campaign	Giantslayer Player's Guide pg. 6		You grew up in a tranquil, happy home near the mountains, but that peace was shattered when giants came down from the mountains to raid your settlement. The giants killed your parents and left you a young orphan, and since that day, you’ve sworn to avenge the deaths of your kin. You gain a +1 trait bonus on attack rolls against creatures with the giant subtype, and a +2 trait bonus on rolls to confirm critical hits against creatures with the giant subtype.	https://aonprd.com/TraitDisplay.aspx?ItemName=Orphaned%20by%20Giants
Outlander	Campaign	Campaign	Advanced Player's Guide pg. 331		You are not from town; you’ve recently come from somewhere else and are hoping to make your fortune here. Pick one of the following reasons to be a newcomer to the area.<br>Lore Seeker: The secrets of an ancient fallen civilization intrigue you, particularly the magical traditions of its highly mystical culture. You’ve studied magic intensely, and hope to increase that knowledge by adding ancient lore. You’ve come to the region to pursue that study, and chose the town as your base because it was out of the way of bigger cities—meaning less competition to study the ancient monuments in the region, you hope! You gain a +1 trait bonus on Knowledge (arcana) checks, and Knowledge (arcana) is a class skill for you. If you cast arcane spells, pick three spells on your spell list. You are particularly adept at casting these spells, so they function at +1 caster level when you cast them, and their save DCs (if any) gain a +1 bonus.<br>Exile: For whatever reason, you were forced to flee your homeland. Chance or fate has brought you to twon, and it’s here that your money ran out, leaving you stranded in this small town. You are also being pursued by enemies from your homeland, and that has made you paranoid and quick to react to danger. You gain a +2 trait bonus on Initiative checks.<br>Missionary: You have come to town to see about expanding the presence of your chosen faith after receiving visions that told you your faith is needed in the region—what that need is, though, you’re not quite sure. You gain a +1 trait bonus on Knowledge (religion) checks, and Knowledge (religion) is a class skill for you. If you cast divine spells, pick three spells on your spell list. You are particularly adept at casting these spells, so they function at +1 caster level when you cast them, and their save DCs (if any) gain a +1 bonus.	https://aonprd.com/TraitDisplay.aspx?ItemName=Outlander
Pathfinder Recruit	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 10		Explore, report, and cooperate. This is the credo you’ve lived by since you’ve joined the Pathfinder Society, and after hearing about the expedition to found Talmandor’s Bounty you applied, eager to see the remains of Azlant. However, you quickly learned that the Bountiful Venture Company wasn’t interested in involving the Pathfinder Society in the formation of the colony. This struck you as strange, because who else has as keen an understanding of some of the elements of ancient Azlant as the Pathfinder Society? Regardless, you went through the application process, making sure to highlight all of your applicable skills and experience while keeping your involvement in the Society to yourself. You were elated to receive notice that you were selected for the second wave of colonists bound for the broken continent of Azlant. You begin play with a standard wayfinder and you gain a +1 trait bonus on initiative checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Pathfinder%20Recruit
Pattern Seeker	Campaign	Campaign	Hell's Rebels Player's Guide pg. 12		There are patterns in the world, both natural and artificial, that if only one can interpret them correctly, great secrets could be divined. You have long been fascinated by the idea of these hidden patterns, perhaps because a sibling or parent went to the grave obsessed with seeking a pattern, or maybe because you feel that you’ve uncovered a previously unknown pattern. Kintargo has a particularly unique pattern of its own; the belfry atop the Temple of Asmodeus rings at what seem to be random intervals. None know who or what rings the bells, and no true pattern by which the so-called Devil’s Bells has yet accurately predicted the tolling. Many have tried, and extensive but always incomplete documents exist that track the dates and times of recorded ringings back to the end of the Chelish Civil War, when the church of Asmodeus first claimed the abandoned temple of Aroden as their own. Maybe you will be the one to solve the pattern of the Devil’s Bells?<br>You gain a +1 trait bonus on all Perception checks, and Perception is always a class skill for you. In addition, you increase the save DC of any illusion (pattern) spell you cast by 1, and you gain a +1 trait bonus on all saving throws against illusion effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Pattern%20Seeker
Peg Leg	Campaign	Campaign	Skull and Shackles Player's Guide pg. 6		One of your legs was bitten off below the knee by a shark when you were just a child, and was replaced with a wooden peg leg (Pathfinder Player Companion: Pirates of the Inner Sea 20). You’ve long since gotten used to your prosthesis, however, and take none of the normal penalties from having a peg leg. You’ve had to learn to deal with the pain of your injury as well, and you gain a +1 trait bonus on Fortitude saves. Ever since your accident you’ve hated sharks, and you also gain a +1 trait bonus on damage rolls against sharks and other animals with the aquatic subtype.<br>Your balance always gets a bit shaky after a few drinks, and last night at the Formidably Maid—a tavern in Port Peril—was no exception. That must be why you fell to the floor as soon as you tried to stand up. What happened next is hazy, but you’re pretty sure you were dragged out of the bar and onto a ship at the docks. At least they didn’t throw you to the sharks...	https://aonprd.com/TraitDisplay.aspx?ItemName=Peg%20Leg
Pioneer	Campaign	Campaign	Kingmaker Player's Guide pg. 11		You have long lived along the southern border of Brevoy, in the shadow of wilderness known as the Stolen Lands. Life has been hard, but through hunting, trapping, trading, and coaxing crops from the freezing earth, you’ve learned how to survive on the rugged frontier. With the wilderness ever at your door, you’ve also learned much about its denizens and the wild creatures that lurk in that unwholesome land. Your family might even claim holdings in the Stolen Lands, with elders telling stories of being driven from or robbed of a lost ancestral homestead, fertile farmlands, bountiful orchards, or a hidden mining claim. Whether because of your personal expertise and familiarity with the borderlands or in order to reclaim your family’s land, you’ve joined the expedition into the Stolen Lands. You begin play with a horse. Also, choose one of the following skills: Climb, Handle Animal, Knowledge (nature), Perception, Ride, Survival, or Swim—you gain a +1 trait bonus on this skill.	https://aonprd.com/TraitDisplay.aspx?ItemName=Pioneer
Portentous Perception	Campaign	Campaign	Varisia, Birthplace of Legends pg. 29		You’ve come (or been sent) to Riddleport to observe the strange Blot that has appeared in the city’s sky. You’ve decided to put your keen senses to the test at the Golden Goblin’s upcoming gambling competition while you’re here. Your sharp eyesight makes it easier for you to notice things at a distance. For you, Perception checks only start increasing in difficulty at a range of 20 feet or farther, as opposed to the normal 10. This has no effect on checks made to perceive things within 10 feet.	https://aonprd.com/TraitDisplay.aspx?ItemName=Portentous%20Perception
Pugnacious	Campaign	Campaign	Strange Aeons Player's Guide pg. 9		You awake in the asylum with sore muscles and bloody knuckles, as if you were recently in a fight. You even have a vague feeling that you won. You can’t explain it, but you know that you’ve always been easy to set off, and your first instinct when pressed into a corner is to lash out. Stuck in the asylum sets you on edge, and you not only want to figure out what happened to you, you want to free yourself and find whoever did this to you—and make them pay.<br>You gain a +1 trait bonus on attack rolls when threatened by two or more enemies. In addition, once per day you can gain one of the following effects as an immediate action: You can increase the reach of your melee attacks by 5 feet for 1 round, or you can treat your weapon as one size category larger than it actually is for purposes of determining damage for 1 round.	https://aonprd.com/TraitDisplay.aspx?ItemName=Pugnacious
Reclaiming your Roots	Campaign	Campaign	Legacy of Fire Player's Guide pg. 10		Your interest in the village of Kelmarane is more personal than most of the others who are heading out to aid in the reclamation. You aren’t seeking revenge against gnolls, glory, money, or anything else—to you, this is purely a matter of honor, as Kelmarane is where you were born. Your were forced to flee the village when you were only a few years old, and you didn’t discoverer this until a few years ago—perhaps you found an old document that revealed the truth, or maybe you learned the news from a relative. Both of your parents are now dead, and from what you’ve been able to piece together, one of your parents actually died in the village when whatever happened there happened. Your surviving parent spirited you away to safety to grow up elsewhere, but never spoke of Kelmarane and always told you that your other parent died when you were a child in a horrific tragedy like a fire or a flood that swept away the body. Now that you’ve started to uncover the truth, you are convinced that your heritage remains hidden in Kelmarane. Whether you just wish to find out what really happened to your parent that died there or you want to rebuild the village in his or her honor is up to you—but Garavel’s caravan to the village is just the opportunity you’ve been waiting for. When your other parent died recently, among his or her effects was a single item that once belonged to the parent who died at Kelmarane. This item is your most valued possession—a piece of jewelry worth 350 gp, any masterwork weapon or armor worth no more than 350 gp, or a wand containing any 1st-level spell (CL 1st) with only 20 charges remaining. If you ever lose this item, your resulting depression imposes a –1 penalty on Will saves for 1 year.	https://aonprd.com/TraitDisplay.aspx?ItemName=Reclaiming%20your%20Roots
Rescued	Campaign	Campaign	Jade Regent Player's Guide pg. 13		At some point in the past, you had a terrifyingly close brush with death. Maybe a goblin nearly killed you during an attack on the town, or perhaps a building struck by a giant’s boulder collapsed around you. Whatever the peril was, you would have certainly died if not for the swift actions of Koya or Shalelu, who intervened just in time to save your life. You’ve never forgotten this, and remain fiercely loyal to the NPC who saved you. Perhaps even more importantly, the method in which she saved you seems to have had an impact on your own skills. If Koya saved you, she did so by casting a healing spell on you just before you died, and as a result you gain a +2 trait bonus whenever you use cure spells to heal damage. If it was Shalelu who saved you, she did so by pulling you to safety while simultaneously defeating the peril that almost did you in, and as a result, you gain a +1 trait bonus on Acrobatics checks and Acrobatics is a class skill for you. In addition, you gain a +1 trait bonus on all attack rolls against foes that threaten your savior. NPC Choices: Koya, Shalelu.	https://aonprd.com/TraitDisplay.aspx?ItemName=Rescued
Researching the Blot	Campaign	Campaign	Second Darkness Player's Guide pg. 15		You may or may not be seeking membership into Riddleport’s most prestigious magical guild, the Order of Cyphers, but you certainly have heard their call for aid in determining the nature of the strange shadow in the sky above Riddleport. You arrived in town several days ago and had some issues with security and safety at several inns before you finally settled on the Gold Goblin; you’ve been staying there as a guest for several days now, and the owner, Saul Vancaskerkin, seems like a nice guy. He’s even given you a pass to attend the gambling tournament he’s about to throw—you’re not sure how into gambling you’ll be, but perhaps there’ll be some visitors from out of town you can talk to about the strange shadow in the sky. At the very least, you’re hoping someone at the tourney will be into magic—there’s not really enough folk in this town who seem all that interested in magic, you’ve found. Your interest in magic dates back quite far, and as a result, you’ve developed a knack for identifying common magical items at a glance. You can use Spellcraft to identify magic items in the same way you can use Spellcraft to identify a potion. The DC to identify a magic item is equal to 20 + the item’s caster level.	https://aonprd.com/TraitDisplay.aspx?ItemName=Researching%20the%20Blot
Resourceful	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 10		You’ve always had a knack for building and repairing things. As a kid, you always got into your parents’ tools and tinkered with things around the house. As you got older, you started making things not only to entertain yourself but also to take in a little extra money. People have noticed your skill and have frequently come to you to make something for them or to repair a pesky device or item. Every time you’ve amazed them at how quickly you do your work and how few resources you squander in the process. Likewise, the Bountiful Venture Company noticed your skill at not only creating wonderful wares, but also how effortlessly and efficiently you work in your trade. You always seem to make do with less, often in unexpected ways.<br>Choose one Craft or Profession skill when you gain this trait. You gain a +1 trait bonus on checks with that skill. In addition, the time required for you to create a magic item is decreased. You require only 8 hours for every 1,500 gp in the item’s base price (instead of the normal 8 hours per 1,000 gp). You can create potions and scrolls whose base price is 375 gp in just 2 hours; potions and scrolls with a base price more than 375 gp but less than 1,500 gp take 8 hours to create, just like any other magic item.	https://aonprd.com/TraitDisplay.aspx?ItemName=Resourceful
Restless Wayfarer	Campaign	Campaign	Reign of Winter Player's Guide pg. 6		You have long led a nomadic life—perhaps because your parents were travelers (whether roaming Varisian caravaneers or traveling merchants who traded far and wide), you belonged to a nomadic tribe, or you ran away from home to discover the world at a young age. Some call it wanderlust, but to you the thought of new places and experiences is truly what makes life worth living, and no region catches your imagination like the windswept wilderness of the North. You are used to getting along in unfamiliar lands and interacting with interesting new people. You gain a +1 trait bonus on Knowledge (geography) and Knowledge (local) checks, and one of these skills (your choice) is a class skill for you. You can also speak one additional language (this does not count toward your number of languages).	https://aonprd.com/TraitDisplay.aspx?ItemName=Restless%20Wayfarer
Resurrected	Campaign	Campaign	Mummy's Mask Player's Guide pg. 10		At some time in the recent past you died, but you were brought back to life—whether because of magic, a blessing of the gods, a destiny you have to fulfill, or perhaps it just wasn’t your time to die yet. Whatever the nature of your resurrection, your experience gave you a fascination with death, and you hope to find some insight into the nature of mortality by exploring the tombs of Wati’s famous necropolis. You gain a +2 trait bonus on saving throws against death effects. In addition, you do not die until your hit points drop to a negative amount equal to or lower than your Constitution score + 4.	https://aonprd.com/TraitDisplay.aspx?ItemName=Resurrected
Riftwarden Orphan	Campaign	Campaign	Wrath of the Righteous Player's Guide pg. 6		You bear a strange birthmark on your body—something you’ve learned is the Sign of the Seeker’s Spiral, a rune associated with the secret society known as the Riftwardens. You have researched this rune, and have learned that the mark sometimes appears on the children of Riftwardens who have been exposed to particularly strange planar energies. Unfortunately, you never knew your parents, for you were raised by a foster family in Kenabres. Your foster family has confirmed that both of your parents were Riftwardens, and has further confirmed that your parents went missing on a secret mission into the Worldwound less than a month after you were born. You’re not sure what happened to them, but you’re certain they’re dead—and your gut tells you that the one who murdered them yet lives! In any event, you’ve long felt magic in your blood, and casting spells comes easily to you. You gain a +2 trait bonus on all concentration checks. Associated Mythic Path: Archmage. Multiple Characters: You should be siblings with any other character that takes this trait, so that you share the same missing parents. Your parents could even be foster parents.	https://aonprd.com/TraitDisplay.aspx?ItemName=Riftwarden%20Orphan
Rising Star	Campaign	Campaign	War for the Crown Player's Guide pg. 9		All too often, great minds must suffer for their art, but you’re one of the lucky ones. Your skills attracted the attention of a noble patron who pays for your food, housing, and tools. As your patron introduces you to other cultural elites, you’re slowly learning to navigate the treacherous waters of high society, but you still remember the lean times when each meal was a hard-won treasure. You gain a +1 trait bonus on Sense Motive and Survival checks, as well as checks using a single Craft or Perform skill of your choice; one of these skills is always a class skill for you. Once each day, you can invoke your patron’s reputation or name one of your own prominent works to gain a +2 circumstance bonus on a single Bluff, Diplomacy, or Intimidate check. You begin the game with a masterwork musical instrument or tool appropriate to the Craft or Perform skill you selected, a gift from your patron.	https://aonprd.com/TraitDisplay.aspx?ItemName=Rising%20Star
Ritualistic	Campaign	Campaign	Strange Aeons Player's Guide pg. 9		You awake with a sense of purpose and a tingle of magical power. Though it’s unsettling that you can’t recall your past, you have a hunch that if you and your companions do everything just right—follow the correct steps and order—the answers will reveal themselves and you will be free of your condition. You get the feeling that you’ve always fallen back on careful planning and time-tested evidence in the past, but a nagging sensation also tells you that you used these skills in less-than-kind ways all too recently.<br>Choose one 0-level spell. You can cast this spell once per day as a spell-like ability with a caster level equal to your character level. The spell-like ability’s save DC is Charisma-based. In addition, you gain a +2 trait bonus on all skill checks when performing occult rituals.	https://aonprd.com/TraitDisplay.aspx?ItemName=Ritualistic
Robot Slayer	Campaign	Campaign	Iron Gods Player's Guide pg. 9		The strange automatons that plague the wilds of Numeria are a blight upon the world, and the idea that there could be countless more of these creatures lying in wait in the unknown ruins scattered throughout the region chills your blood. Khonnir’s recovery of a deactivated robot from the caves below Torch worries you—not only could that thing wake up and run amok in town, but there may well be more lurking below! You want to explore the caves under Torch to determine if there is indeed a lurking robot threat below town. You gain a +1 trait bonus on attack rolls against robots and a +1 dodge bonus to AC against attacks made by robots.	https://aonprd.com/TraitDisplay.aspx?ItemName=Robot%20Slayer
Roll With It	Campaign	Campaign	Giantslayer Player's Guide pg. 6		You’ve trained with some of the best giantslayers out there, and have learned how to avoid the worst effects of a giant’s powerful attacks. You gain a +1 trait bonus on Reflex saves. In addition, once per day, when a creature with the giant subtype successfully confirms a critical hit against you with a weapon or a slam attack (not a spell or special ability), you can roll with the attack. You take normal damage from the blow, as if the critical had not been confirmed. You must be aware of the attack and able to react to it—if you are denied your Dexterity bonus to AC, you can’t use this ability. If you are a dwarf or a gnome, you can use this ability twice per day.	https://aonprd.com/TraitDisplay.aspx?ItemName=Roll%20With%20It
Rostlander	Campaign	Campaign	Kingmaker Player's Guide pg. 12		You were raised in the south of Brevoy, a land of dense forests and rolling plains, of crystalline rivers and endless sapphire skies. You come from hearty stock and were raised with simple sensibilities of hard work winning well-deserved gains, the importance of charity and compassion, and the value of personal and familial honor. Yours is the country of the Aldori swordlords and the heroes who refused to bend before the armies of a violent conqueror. You care little for matters of politics and nobles or of deception and schemes. As you are thoroughly Brevic, the call for champions willing to expand your land’s influence into the Stolen Lands has inflamed your sense of patriotism and honor, and so you have joined an expedition to quest southward. Your hardy nature grants you a +1 trait bonus on all Fortitude saves.	https://aonprd.com/TraitDisplay.aspx?ItemName=Rostlander
Ruin Raider	Campaign	Campaign	Varisia, Birthplace of Legends pg. 31		While the mercantile industries of Magnimar appeal to your keen eye for monetary gain, you know that the boldest route to true fortune lays in hunting down rare relics and selling them to the highest bidder. Becoming a Pathfinder seemed like an obvious decision, allowing you to travel throughout Varisia in your search for wealth, so you signed up right away. You brought with you a sharp eye and keen ability to distinguish fakes from the genuine article. You gain a +1 trait bonus on Appraise checks. Additionally, you gain a +4 bonus on Perception checks made to distinguish statue-like creatures (like caryatid columns and gargoyles) from actual sculptures.	https://aonprd.com/TraitDisplay.aspx?ItemName=Ruin%20Raider
Sandpoint Faithful	Campaign	Campaign	Varisia, Birthplace of Legends pg. 28		As a faithful adherent of Abadar, Desna, Erastil, Gozreh, Sarenrae, or Shelyn, you’ve come to the Swallowtail Festival to celebrate the consecration of Sandpoint Cathedral. You gain a silver holy symbol of your chosen deity, and so long as you worship that deity and openly wear his or her symbol, you regain +1 additional hit point every time you receive magical healing.	https://aonprd.com/TraitDisplay.aspx?ItemName=Sandpoint%20Faithful
Scholar of the Ancients	Campaign	Campaign	Rise of the Runelords Anniversary Edition Player's Guide pg. 4		Growing up with your nose in books, you’ve had a great interest in past cultures and ancient history. Furthermore, having grown up in Varisia, you know the monuments dotting the landscape belong to an ancient civilization known as Thassilon. From your life of study and dogged research, you’ve pieced together the language and partial history of this once-great empire. You gain a +1 trait bonus on Knowledge (arcana) and Knowledge (history) checks, and begin play able to speak and read Thassilonian.	https://aonprd.com/TraitDisplay.aspx?ItemName=Scholar%20of%20the%20Ancients
Scion of Legend	Campaign	Campaign	Return of the Runelords Players Guide pg. 11		Your character has a personal link or association with one of Varisia’s established heroes. This hero should be a PC you played in a previous campaign (and could be, but need not be, one of the Sihedron Heroes). Your character could be a younger sibling, younger cousin, or even an apprentice of the hero. If enough time has passed, you might be the hero’s child, or your character could have reincarnated from the soul of a hero that died before your character was born.<br>Choose two skills for which your associated hero has skill ranks. You gain a +1 trait bonus on checks with both of those skills, and those two skills are class skills for you.<br>Once per adventure as a free action, you can call upon a previously forgotten bit of advice or lore imparted to you by the hero to gain an insight bonus equal to your class level (minimum +10) to a skill check. You may choose to apply this bonus after you roll the skill check, but must do so before the result of the roll is known.	https://aonprd.com/TraitDisplay.aspx?ItemName=Scion%20of%20Legend
Scion of the Nine Circles	Campaign	Campaign	Hell's Vengeance Player's Guide pg. 13		While the worship of Asmodeus is widespread throughout Cheliax, you follow a different path: that of the philosophy of diabolism. Asmodeus and the other archdevils are worthy of respect and emulation, certainly, but rather than worship one Lord of Hell above all others, your faith is instead based on the veneration of the order and laws of Hell itself as a model for a perfect society. Free will must be suppressed to prevent rebellion, slavery is required to keep the unworthy in their place, and evil and cruelty are necessary for good and kindness to exist.<br>You gain a +1 trait bonus on Knowledge (planes) checks, and Knowledge (planes) is a class skill for you. You also know the Infernal tongue (this does not count toward your number of languages). In addition, your studies of Hell’s underlying structure give strength to your determination. You gain a +2 trait bonus on Will saves against the mind-affecting effects of outsiders with the good subtype.	https://aonprd.com/TraitDisplay.aspx?ItemName=Scion%20of%20the%20Nine%20Circles
Scouting for Fiends	Campaign	Campaign	Second Darkness Player's Guide pg. 15		You belong to an organization (most likely a religion) that has definite views on the menace posed by the lower planes. The willfulness with which the city of Korvosa (they even allow a temple of Asmodeus to operate in broad daylight!) tolerates infernal influences is, to you and your organization, the greatest symbol of what’s wrong with civilization today. And now, in Riddleport, there’s news that a gambling tournament is using devils and Hell as an idle decoration. It’s likely that this is just an example of poor taste, but there’s a chance that something sinister may be lurking beneath the goings-on at the Gold Goblin. You have been contacted by your organization (or may have decided on your own) to travel to Riddleport (if you don’t already live there) and attend this tournament under the guise of a patron. Keep an eye on things there, even after the tournament is over; if you can, get a job working for the owner. Demons and devils can be subtle, and it could take weeks or even months to find proof of their involvement. Your near-obsessive hatred of all things fiendish grants you a +1 trait bonus on all attack rolls made against foes you know to be evil outsiders.	https://aonprd.com/TraitDisplay.aspx?ItemName=Scouting%20for%20Fiends
Seasoned Hunter	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 10		You grew up hunting every season, any season. Maybe you grew up in a rural area and hunted to put food on the table, or perhaps you come from a comfortable lifestyle where hunting for sport is an excellent excuse to camp in the wilderness and hone your skills. After sharing stories of your most exciting hunts and proving to them that you can hit a bull’s eye at 100 feet, the Bountiful Venture Company selected you for the expedition assured that you can provide food and security to the young colony.<br>Pick one of the following creature types: aberration, animal, magical beast, or vermin. You gain a +1 trait bonus on attack rolls or damage rolls (choose one; once chosen it can’t be changed) against creatures of that type.	https://aonprd.com/TraitDisplay.aspx?ItemName=Seasoned%20Hunter
Seeking Adventure	Campaign	Campaign	Legacy of Fire Player's Guide pg. 10		The Pathfinder Society has long intrigued you—tales of the exotic lands and strange discoveries made by Pathfinders have enchanted your dreams and fired your imagination since childhood. When Pathfinders came through your village or neighborhood, they immediately enthralled you with their stories and knowledge. Yet at the time, you were far too young to join them, and when they left for adventure you had to stay behind. Now that you are of age, you’ve traveled to Absalom to apply for membership. The application process went well, and you’re now a full member. Your first assignment is to accompany Garavel’s group to Kelmarane—the Pathfinder Society has heard rumors of several ancient structures in the area, including a ruined monastery once dedicated to Sarenrae, and would like to learn more about them. Even more pressing is the mystery of what brought about Kelmarane’s ruin in the first place—reports of which are vague at best. If you can determine the cause of the village’s abandonment so many years ago, you’re sure the Society would be impressed. You begin the game with your own wayfinder, a loan from your venture-captain. You’ve promised to pay your venturecaptain 500 gp for the wayfinder some day, but for now it’s yours to use. A wayfinder is a magical compass that grants you a +2 circumstance bonus on Survival checks to avoid becoming lost, and can be commanded to emit light as the spell (CL 5th) as a standard action. Further details on the Pathfinder Society and wayfinders may be found in the Pathfinder Chronicles Campaign Setting (pages 194–195) or Seekers of Secrets.	https://aonprd.com/TraitDisplay.aspx?ItemName=Seeking%20Adventure
Senatorial Hopeful	Campaign	Campaign	War for the Crown Player's Guide pg. 9		While you belong to a noble family, hailing from the outlying prefectures means you lack the pull and wealth needed to rub shoulders with the stars of Oppara’s social scene. Your life has been quiet, isolated from the thrum of fashion and pop culture, but you see this as a source of insight and aim to help people by someday joining the senate. It’ll be a long journey, but you’ve already begun learning which hands to shake and how to listen carefully when others tell you what they want. You gain a +1 bonus on Diplomacy and Knowledge (local) checks, and both of these skills are always class skills for you. Once each week you can call on family connections to obtain a single piece of equipment or consumable magic item (such as a potion or scroll) worth up to your character level × 25 gp. Delivery of the goods you request takes 1d4 days. At 10th level, the potential value of a magical item increases to your character level × 50 gp, and your requests can also include spellcasting services and wands.	https://aonprd.com/TraitDisplay.aspx?ItemName=Senatorial%20Hopeful
Sensitive Mind	Campaign	Campaign	Strange Aeons Player's Guide pg. 10		You awake in the asylum horribly aware of dangers lurking nearby. While your memories are hazy and indistinct, everything around you looks vibrant and clear. You have an inkling that you have always been perceptive and can tell a lot about a person even in a quick meeting. This sensitivity can overwhelm you at times, especially in your current situation.<br>You gain a +1 trait bonus on Appraise, Perception, and Sense Motive checks, and one of these (your choice) is a class skill for you. In addition, once per week you can use the psychometry occult skill unlock even if you are not capable of casting psychic spells or have the Psychic Sensitivity feat.	https://aonprd.com/TraitDisplay.aspx?ItemName=Sensitive%20Mind
Serpent Runner	Campaign	Campaign	Varisia, Birthplace of Legends pg. 31		You’ve participated in the mock gladiatorial battles and athletic feats at the Serpent’s Run, Magnimar’s grand hippodrome, but the safe nature of those games leaves you bored. Seeking greater thrills and tests of your abilities, you’ve pledged your arms and skill to the local Pathfinder lodge. Choose one of the following benefits to represent the techniques you learned from your time at the Serpent’s Run:<br>- Choose a specific type of armor. When wearing armor of that type, you treat its armor check penalty as if it were –1 lower.<br>- When fighting with two weapons, the penalty imposed on your primary weapon is reduced by 1.<br>- You gain a +2 trait bonus on Intimidate checks to demoralize opponents.	https://aonprd.com/TraitDisplay.aspx?ItemName=Serpent%20Runner
Set Mind	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 10		Every time that you’ve said you’d do something, you’ve made sure to follow through. You can’t remember a time when you weren’t this way. People have a hard time making you change your mind once you’ve set yourself on a certain path. You might be exceptionally stubborn or you may just have a particular determination. Either way, you’re going to keep doing what you set your mind to. The Bountiful Venture Company recognized this useful trait of yours and selected you for the second wave of colonists because of your great resolve and unswerving dedication to what you set your mind upon.<br>Once per day when you fail a saving throw against a charm or compulsion effect that would cause you to act differently than you normally would, you can immediately reroll that saving throw as a free action. You must take the second result, even if it’s worse.	https://aonprd.com/TraitDisplay.aspx?ItemName=Set%20Mind
Shadow Child	Campaign	Campaign	Council of Thieves Player's Guide pg. 9		Westcrown has long suffered under a peculiar curse, a blight that rises every night, bringing with it fell beasts that hunt the shadows. No one can say from whence these night-horrors come—though some blame the mysterious wizards of Nidal, other claim that it’s some curse laid by fallen Aroden, while still others suggest some shadowy mastermind manipulates an ebon brood from the depths of Westcrown’s northern ruins. Whatever the case, the people of Westcrown have long feared the night, but not you. You’re goal is to reclaim the darkness from the beasts that hide within. You’ve acclimated yourself to the dark, and thus act with greater precision in the shadow than most. When attacking targets in areas of dim light, you do not suffer the standard 20% miss chance on attack rolls for being in the poorly lit area.	https://aonprd.com/TraitDisplay.aspx?ItemName=Shadow%20Child
